row_idx,col_idx,mentions
1,1,1470
2,1,1313
3,1,2019
4,1,2394
5,1,621
6,1,1096
7,1,0
8,1,640
9,1,968
10,1,275
11,1,608
12,1,923
13,1,7
14,1,387
15,1,367
16,1,674
17,1,144
18,1,40
19,1,193
20,1,776
1,2,248
2,2,428
3,2,9
4,2,251
5,2,29
6,2,9
7,2,0
8,2,0
9,2,91
10,2,80
11,2,137
12,2,31
13,2,0
14,2,74
15,2,136
16,2,129
17,2,0
18,2,388
19,2,39
20,2,62
1,3,889
2,3,611
3,3,4146
4,3,56
5,3,463
6,3,3121
7,3,6
8,3,35
9,3,320
10,3,214
11,3,217
12,3,242
13,3,43
14,3,351
15,3,143
16,3,308
17,3,47
18,3,145
19,3,316
20,3,41
1,4,42
2,4,16
3,4,152
4,4,0
5,4,4
6,4,121
7,4,97
8,4,56
9,4,55
10,4,1
11,4,48
12,4,0
13,4,0
14,4,235
15,4,2
16,4,0
17,4,0
18,4,0
19,4,31
20,4,0
1,5,1753
2,5,1709
3,5,393
4,5,753
5,5,947
6,5,130
7,5,58
8,5,926
9,5,322
10,5,2153
11,5,433
12,5,555
13,5,1
14,5,120
15,5,930
16,5,315
17,5,19
18,5,16
19,5,135
20,5,857
1,6,41
2,6,90
3,6,16
4,6,156
5,6,23
6,6,9
7,6,0
8,6,57
9,6,3
10,6,6
11,6,26
12,6,15
13,6,0
14,6,8
15,6,3
16,6,7
17,6,7
18,6,0
19,6,3
20,6,17
1,7,7
2,7,117
3,7,766
4,7,0
5,7,3
6,7,494
7,7,0
8,7,0
9,7,29
10,7,1
11,7,13
12,7,0
13,7,0
14,7,242
15,7,4
16,7,1
17,7,0
18,7,1
19,7,3
20,7,1
1,8,6
2,8,24
3,8,2
4,8,88
5,8,0
6,8,3
7,8,34
8,8,18
9,8,28
10,8,2
11,8,3
12,8,170
13,8,0
14,8,10
15,8,2
16,8,7
17,8,0
18,8,0
19,8,62
20,8,54
1,9,235
2,9,163
3,9,2
4,9,0
5,9,9
6,9,4
7,9,15
8,9,0
9,9,76
10,9,0
11,9,111
12,9,0
13,9,0
14,9,4
15,9,36
16,9,44
17,9,1
18,9,0
19,9,22
20,9,22
1,10,193
2,10,108
3,10,0
4,10,134
5,10,165
6,10,4
7,10,278
8,10,0
9,10,46
10,10,55
11,10,23
12,10,0
13,10,1
14,10,21
15,10,65
16,10,14
17,10,0
18,10,1
19,10,4
20,10,58
1,11,46
2,11,13
3,11,57
4,11,128
5,11,4
6,11,64
7,11,0
8,11,0
9,11,104
10,11,19
11,11,64
12,11,43
13,11,0
14,11,8
15,11,1
16,11,519
17,11,1
18,11,2
19,11,9
20,11,0
1,12,21
2,12,111
3,12,743
4,12,0
5,12,13
6,12,301
7,12,1
8,12,78
9,12,3
10,12,4
11,12,61
12,12,0
13,12,0
14,12,36
15,12,4
16,12,116
17,12,0
18,12,0
19,12,8
20,12,0
1,13,42
2,13,37
3,13,81
4,13,0
5,13,5
6,13,4
7,13,277
8,13,43
9,13,3
10,13,33
11,13,14
12,13,25
13,13,0
14,13,2
15,13,4
16,13,0
17,13,0
18,13,0
19,13,1
20,13,38
1,14,233
2,14,15
3,14,24
4,14,0
5,14,15
6,14,64
7,14,0
8,14,0
9,14,57
10,14,16
11,14,3
12,14,193
13,14,0
14,14,16
15,14,32
16,14,43
17,14,2
18,14,1
19,14,6
20,14,69
1,15,433
2,15,186
3,15,24
4,15,83
5,15,151
6,15,13
7,15,143
8,15,67
9,15,80
10,15,161
11,15,61
12,15,686
13,15,2
14,15,13
15,15,156
16,15,208
17,15,2
18,15,3
19,15,6
20,15,71
